,group4,shh,shh,shh,group4,group3,group3,shh,group3,group4,group3,group4,group4,wnt,group4,group4,group4,shh,shh,wnt,group4,shh,group4,group4,shh,group3
miR-1205,0,0,2.35E-06,0,0,2.47E-06,3.37E-06,0,0.000125613,0,0,0,0,3.70E-05,1.86E-05,0,3.66E-06,0,9.61E-06,0,3.05E-06,1.07E-05,0,3.97E-06,8.31E-06,0
miR-1206,9.00E-06,0,0,0,0,0,0,0,0,0,0,4.59E-06,0,4.12E-06,0,0,0,2.63E-06,0,0,0,5.37E-06,0,0,0,0
miR-1207-3p,3.00E-06,0,9.41E-06,1.31E-05,0,4.95E-06,0,2.35E-06,3.59E-05,0,1.55E-06,9.19E-06,0,8.23E-06,1.86E-05,0,5.49E-06,5.27E-06,4.81E-05,1.00E-05,6.10E-06,1.07E-05,1.12E-05,0,1.66E-05,9.11E-06
miR-1207-5p,0.000530759,0.003737108,0.003191632,0.005353385,0.012735453,0.002564921,0.006662131,0.004976175,0.015354708,0.000637913,0.000884793,0.010761677,0.000415299,0.00309493,0.002004157,0.0029952,0.001404533,0.001836574,0.008258464,0.002513635,0.000680247,0.002581081,0.028260614,0.019722126,0.011810713,0.012838906
miR-1208,9.00E-06,0,7.06E-06,8.73E-06,3.26E-06,2.47E-06,3.37E-06,0,0,1.01E-05,6.20E-06,0,0,2.88E-05,0,0,5.49E-06,5.27E-06,1.44E-05,0,0,2.68E-05,0,0,0.000166231,0
miR-1224-5p,7.20E-05,0.000203155,0.000348349,0.000537085,0.000722717,0.000180559,0.000592788,0.000176044,0.000891255,6.56E-05,6.20E-05,0.00070734,2.17E-05,0.000893085,0.0001209,0.000117949,0.000118873,6.85E-05,0.000778738,0.000713419,0.000100664,0.000160982,0.00197232,0.001466048,0.001616597,0.001184149
miR-1225-3p,3.90E-05,0.000165359,0.000317751,0.000384256,0.000231139,0.000128617,0.000151565,9.15E-05,0.000580213,5.55E-05,4.03E-05,0.000275587,3.38E-05,0.004193795,0.0001302,0.000107227,0.00029444,7.64E-05,0.003638916,0.0002767,4.88E-05,0.000182447,0.000731938,0.001108476,0.001683089,0.001298009
miR-1225-5p,0.000116947,0.000911835,0.000607257,0.000825277,0.001090587,0.000361117,0.001188945,0.00045302,0.004145233,7.31E-05,0.000189045,0.001313632,0.000120727,0.000407444,0.000511502,0.000532559,0.000219458,0.000218702,0.001903581,0.00075009,0.000195228,0.000708322,0.002832766,0.001374669,0.002497621,0.001776223
miR-122-5p,3.00E-06,1.89E-05,9.41E-06,3.93E-05,6.51E-06,1.24E-05,1.01E-05,2.35E-06,5.98E-06,7.56E-06,4.65E-06,1.38E-05,0,4.12E-06,2.79E-05,0,5.49E-06,5.27E-06,3.36E-05,3.33E-06,3.05E-06,4.29E-05,2.23E-05,3.58E-05,2.91E-05,1.37E-05
miR-1226-3p,0.000236892,0.00010394,9.65E-05,0.000419188,0.000192074,0.000351223,0.001185576,0.000173697,0.000729752,0.000158848,0.00020609,0.000225063,0.000140043,0.000390982,0.000423152,0.000350274,0.000126189,0.000142288,6.25E-05,0.00050006,0.000375204,0.00015025,0.000139683,0.000667469,0.001105436,0.000687717
